"Company_Name","Address","Revenue"
"SUMITOMO ELECTRIC INDUSTRIES, LTD.","South Penrith,New South Wales Australia","$29,330.72M"
"CUMMINS FILTRATION INTERNATIONAL CORP.","Melbourne,Victoria Australia","$23,571M"
"VIVA ENERGY GROUP LIMITED","Docklands,Victoria Australia","$17,470.68M"
"AMCOR PLC","Southbank,Victoria Australia","$14,694M"
"BP AUSTRALIA GROUP PTY LTD","Docklands,Victoria Australia","$14,517.58M"
"BP AUSTRALIA INVESTMENTS PTY LTD","Docklands,Victoria Australia","$14,458.13M"
"CSL LIMITED","Melbourne,Victoria Australia","$13,310M"
"EXXONMOBIL AUSTRALIA PTY LTD","Docklands,Victoria Australia","$11,483.53M"
"BLUESCOPE STEEL LIMITED","Melbourne,Victoria Australia","$11,288.46M"
"TOYOTA MOTOR CORPORATION AUSTRALIA LIMITED","Port Melbourne,Victoria Australia","$8,309.1M"
"INDUSTRY PARK PTY. LTD.","Brooklyn,Victoria Australia","$5,664.62M"
"WACKER CHEMIE AG","Mulgrave,Victoria Australia","$5,451.84M"
"ORICA LIMITED","East Melbourne,Victoria Australia","$5,133.53M"
"AMCOR HOLDINGS (AUSTRALIA) PTY LIMITED","Southbank,Victoria Australia","$3,999.2M"
"JAMES HARDIE INDUSTRIES PUBLIC LIMITED COMPANY","Sydney,New South Wales Australia","$3,777.1M"
"INITIATING EXPLOSIVES SYSTEMS PTY. LTD.","East Melbourne,Victoria Australia","$3,647.16M"
"INCITEC PIVOT LIMITED","Southbank,Victoria Australia","$3,491.25M"
"NBN CO LIMITED","North Sydney,New South Wales Australia","$3,445.39M"
"AMCOR PTY LTD","Southbank,Victoria Australia","$3,400M"
"ASAHI HOLDINGS (AUSTRALIA) PTY LTD","Southbank,Victoria Australia","$3,367.9M"
"MINDRAY MEDICAL AUSTRALIA PTY LTD","Notting Hill,Victoria Australia","$3,194.48M"
"ORORA LIMITED","Hawthorn,Victoria Australia","$3,109.22M"
"DOWNER EDI WORKS PTY LTD","Melbourne,Victoria Australia","$2,980.06M"
"BLUESCOPE STEEL (AIS) PTY. LTD.","Mount Waverley,Victoria Australia","$2,872.34M"
"CARGILL AUSTRALIA LIMITED","Southbank,Victoria Australia","$2,827.66M"
"AMCOR FINANCE AUSTRALIA PTY LTD","Southbank,Victoria Australia","$2,714.65M"
"AMCOR EUROPEAN HOLDINGS PTY LTD","Southbank,Victoria Australia","$2,714.65M"
"AMCOR PACKAGING (ASIA) PTY LTD","Southbank,Victoria Australia","$2,714.65M"
"AMCOR FLEXIBLES (PORT MELBOURNE) PTY LTD","Southbank,Victoria Australia","$2,714.65M"
"AMCOR INVESTMENTS PROPRIETARY LIMITED","Southbank,Victoria Australia","$2,714.65M"
"DULUXGROUP LIMITED","Clayton,Victoria Australia","$2,517.43M"
"NUFARM LIMITED","Laverton North,Victoria Australia","$2,248.85M"
"PEKO-WALLSEND PTY LTD","Melbourne,Victoria Australia","$2,128.54M"
"A.C.N. 166 119 133 PTY LTD","Southbank,Victoria Australia","$2,035.75M"
"TREASURY WINE ESTATES LIMITED","Melbourne,Victoria Australia","$1,858.74M"
"CUB AUSTRALIA HOLDING PTY LTD","Southbank,Victoria Australia","$1,790.77M"
"ANSELL LIMITED","Richmond,Victoria Australia","$1,655.1M"
"NEW ZEALAND MILK (AUSTRALASIA) PTY LTD","Mount Waverley,Victoria Australia","$1,578.46M"
"DC HOLDINGS WA PTY LTD","Melbourne,Victoria Australia","$1,371.24M"
"BP AUSTRALIA PTY LTD","Docklands,Victoria Australia","$1,343.02M"
"ELITE CUSTOMER SOLUTIONS PTY LTD","Melbourne,Victoria Australia","$1,343.02M"
"PACCAR AUSTRALIA PTY. LTD.","Bayswater,Victoria Australia","$1,325.28M"
"MONDELEZ INTERNATIONAL AMEA PTE. LTD.","South Melbourne,Victoria Australia","$1,297.04M"
"MONDELEZ AUSTRALIA HOLDINGS PTY LTD","South Melbourne,Victoria Australia","$1,289.13M"
"PACT GROUP HOLDINGS LTD","Cremorne,Victoria Australia","$1,274.19M"
"RELIANCE WORLDWIDE CORPORATION LIMITED","Melbourne,Victoria Australia","$1,243.8M"
"MARS WRIGLEY AUSTRALIA HOLDINGS PTY LTD","Asquith,New South Wales Australia","$1,216.55M"
"PAPER AUSTRALIA PTY LTD","Burnley,Victoria Australia","$1,210.92M"
"UNITED MALT GROUP PTY LIMITED","Sydney,New South Wales Australia","$1,073.77M"
"THE TRUSTEE FOR SOUTHERN PAPER CONVERTERS TRUST","Southbank,Victoria Australia","$1,059.38M"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED","Ringwood,Victoria Australia","$1,044.01M"
"SUGAR AUSTRALIA PTY LIMITED","Yarraville,Victoria Australia","$1,042.58M"
"SIMPLOT AUSTRALIA (HOLDINGS) PTY LIMITED","Mentone,Victoria Australia","$1,033.52M"
"HAEMONETICS AUSTRALIA PTY LTD","North Ryde,New South Wales Australia","$993.2M"
"CUMMINS SOUTH PACIFIC PTY. LTD.","Scoresby,Victoria Australia","$947.65M"
"IX INFRASTRUCTURE PTY LTD","East Melbourne,Victoria Australia","$915.36M"
"BP BULWER ISLAND PTY LTD","Pinkenba,Queensland Australia","$847.64M"
"RIDLEY CORPORATION LIMITED","Melbourne,Victoria Australia","$824M"
"ORICA EXPLOSIVES TECHNOLOGY PTY LTD","East Melbourne,Victoria Australia","$802.34M"
"VISY BOARD PROPRIETARY LIMITED","Southbank,Victoria Australia","$787.81M"
"AGRIUM AUSTRALIA PTY LTD","Docklands,Victoria Australia","$785.82M"
"SECOS GROUP LTD","Mount Waverley,Victoria Australia","$775.76M"
"VAX APPLIANCES (AUSTRALIA) PTY. LTD.","Mount Waverley,Victoria Australia","$754.09M"
"CATERPILLAR HOLDINGS AUSTRALIA PTY LTD","Brisbane City,Queensland Australia","$734.72M"
"HBI HOLDINGS AUSTRALASIA PTY LTD","Kew,Victoria Australia","$729.27M"
"ALCHEMY HOLDINGS PTY LTD","Ashford,South Australia Australia","$686.09M"
"AMPACET AUSTRALIA PTY LTD","Keysborough,Victoria Australia","$681.64M"
"AMOTIV LIMITED","South Melbourne,Victoria Australia","$678.03M"
"VIADUX PTY LTD","Cremorne,Victoria Australia","$661.28M"
"HE KNOWS TRUCK PARTS PTY LTD","Mount Waverley,Victoria Australia","$651.67M"
"KMD BRANDS LIMITED","South Melbourne,Victoria Australia","$650.02M"
"AMEROPA AUSTRALIA PTY LTD","Melbourne,Victoria Australia","$649.36M"
"MCCAIN FOODS (AUST) PTY LTD","Wendouree,Victoria Australia","$640.48M"
"KRAFT HEINZ AUSTRALIA PTY LIMITED","Southbank,Victoria Australia","$597.17M"
"TUROSI PTY LTD","Thomastown,Victoria Australia","$586.46M"
"AMA GROUP LIMITED","Melbourne,Victoria Australia","$568.63M"
"ALSAFE PREMIX CONCRETE PTY LTD","Somerton,Victoria Australia","$522.94M"
"HS COMPANY PTY LIMITED","Dandenong South,Victoria Australia","$518.54M"
"BAYER CROPSCIENCE HOLDINGS PTY LTD","Hawthorn,Victoria Australia","$513.57M"
"TENIX HOLDINGS INTERNATIONAL PTY LIMITED","Melbourne,Victoria Australia","$503.33M"
"A. C. COMPONENTS PTY. LTD.","Cremorne,Victoria Australia","$497.39M"
"AIR PLUS PTY LTD","Cremorne,Victoria Australia","$497.39M"
"QENOS PTY LTD","Sydney,New South Wales Australia","$496.28M"
"QENOS HOLDINGS PTY LTD","Altona,Victoria Australia","$496.28M"
"BAYVIEW PTY LIMITED","Port Melbourne,Victoria Australia","$489.41M"
"QENOS CONSULTING PTY LTD","Altona,Victoria Australia","$487.17M"
"DANAHER AUSTRALIA HOLDING PTY LTD","Mount Waverley,Victoria Australia","$484.39M"
"BHP NICKEL WEST PTY LTD","Perth,Western Australia Australia","$482.72M"
"BP OIL AUSTRALIA PTY LTD","Docklands,Victoria Australia","$478.62M"
"VISY PULP AND PAPER PTY. LTD.","Southbank,Victoria Australia","$475.29M"
"MIDFIELD MEAT INTERNATIONAL PTY. LTD.","Warrnambool,Victoria Australia","$472.16M"
"ITW AUSTRALIA HOLDINGS PTY LTD","Melbourne,Victoria Australia","$468.85M"
"HWG HOLDINGS PTY LIMITED","Port Melbourne,Victoria Australia","$468.38M"
"PEERLESS HOLDINGS PTY. LIMITED","Braybrook,Victoria Australia","$467.38M"
"GM HOLDINGS AUSTRALIA PTY LTD","Port Melbourne,Victoria Australia","$460.85M"
"BOEING AEROSTRUCTURES AUSTRALIA PTY LIMITED","Port Melbourne,Victoria Australia","$445.31M"
"ORICA EXPLOSIVES HOLDINGS NO 2 PTY LTD","East Melbourne,Victoria Australia","$444.25M"
"ORICA EXPLOSIVES HOLDINGS PTY LTD","East Melbourne,Victoria Australia","$444.25M"
"ORICA INVESTMENTS PTY LTD","East Melbourne,Victoria Australia","$444.25M"
"ORICA IC ASSETS PTY LTD","Kooragang,New South Wales Australia","$444.25M"
"RIVIERA HOLDINGS (AUS) PTY LTD","Mulgrave,Victoria Australia","$443.14M"
"UNITED MILK TASMANIA PTY LTD","Spreyton,Tasmania Australia","$440.25M"
"MARBLE SWIRL HOLDINGS PTY LTD","St Kilda,Victoria Australia","$439.11M"
"ARB CORPORATION LIMITED","Kilsyth,Victoria Australia","$438.92M"
"GLAXOSMITHKLINE HOLDINGS PTY LTD","Abbotsford,Victoria Australia","$436.18M"
"ASSA ABLOY AUSTRALIA PACIFIC PTY. LIMITED","Oakleigh,Victoria Australia","$436.04M"
"THERMO ELECTRON AUSTRALIA PTY LIMITED","Scoresby,Victoria Australia","$435.05M"
"AKD TIMBER TRADING PTY LTD","Colac,Victoria Australia","$431.81M"
"ONEFORTYONE PLANTATIONS HOLDINGS PTY LTD","Southbank,Victoria Australia","$403.92M"
"NEXANS AUSTRALIA HOLDING PTY LIMITED","Melbourne,Victoria Australia","$401.91M"
"VISY PACKAGING PTY. LTD.","Southbank,Victoria Australia","$401.66M"
"BASF AUSTRALIA LTD.","Southbank,Victoria Australia","$396.32M"
"BMC HOLDINGS (VIC) PTY. LTD.","Morwell,Victoria Australia","$394.02M"
"PREMIUM FLOORS AUSTRALIA PTY LIMITED","Keysborough,Victoria Australia","$375.49M"
"AUSTRALIAN MEAT GROUP PTY LTD","Dandenong,Victoria Australia","$373.6M"
"WENGFU AUSTRALIA PTY LTD","Port Melbourne,Victoria Australia","$371.25M"
"JAS OCEANIA PTY. LTD.","Tullamarine,Victoria Australia","$364.66M"
"APEX BUILDING PRODUCTS PTY LTD","Dandenong South,Victoria Australia","$363.96M"
"BLACKMAGIC DESIGN PTY LTD","South Melbourne,Victoria Australia","$356.53M"
"N.H.P. ELECTRICAL ENGINEERING PRODUCTS PROPRIETARY LIMITED","Richmond,Victoria Australia","$355.58M"
"PPG INDUSTRIES AUSTRALIA PTY LIMITED","Clayton,Victoria Australia","$350.05M"
"JEPPESEN AUSTRALIA PTY LTD","Tullamarine,Victoria Australia","$340.31M"
"PATTIES FOODS PTY LIMITED","Mentone,Victoria Australia","$338.37M"
"TELIX PHARMACEUTICALS LIMITED","North Melbourne,Victoria Australia","$328.33M"
"HENKEL AUSTRALIA PTY LTD","Kilsyth,Victoria Australia","$327.45M"
"GOLDEN GROVE HOLDINGS (NO. 2) PTY LTD","West Perth,Western Australia Australia","$316.21M"
"R.T.S. TECHNOLOGIES PTY. LTD.","Melbourne,Victoria Australia","$311.54M"
"BOORTMALT AUSTRALIA PTY LTD","Southbank,Victoria Australia","$310.92M"
"INCITEC PIVOT FERTILISERS LIMITED","Townsville,Queensland Australia","$307.19M"
"ESSITY AUSTRALASIA PTY LTD","Springvale,Victoria Australia","$305.71M"
"ROBERT BOSCH (AUSTRALIA) PROPRIETARY LIMITED","Clayton,Victoria Australia","$305.45M"
"CSL BEHRING (HOLDINGS) PTY LTD","Melbourne,Victoria Australia","$305.34M"
"CSL FINANCE PTY LTD","Melbourne,Victoria Australia","$305.34M"
"DGL GROUP LIMITED","Unanderra,New South Wales Australia","$304.71M"
"JAYCO UNIT TRUST","Dandenong,Victoria Australia","$302.21M"
"FONTERRA BRANDS (AUSTRALIA) PTY LTD","Richmond,Victoria Australia","$296.21M"
"FONTERRA MILK AUSTRALIA PTY LTD","Richmond,Victoria Australia","$296.21M"
"FONTERRA INGREDIENTS AUSTRALIA PTY LTD","Richmond,Victoria Australia","$296.21M"
"A.G. COOMBS GROUP PTY. LTD.","Moorabbin,Victoria Australia","$295.97M"
"HIGHBROOK HOLDINGS PTY LTD","South Melbourne,Victoria Australia","$291.5M"
"MOUNTAIN H2O PTY LTD","Ocean Grove,Victoria Australia","$284.21M"
"SCHWEPPES HOLDINGS PTY LTD","Southbank,Victoria Australia","$284.21M"
"ASAHI BEVERAGES AUSTRALIA PTY LTD","Southbank,Victoria Australia","$284.21M"
"T D NOONE RETAIL PTY LTD","Werribee,Victoria Australia","$279.82M"
"SLADE PHARMACY MANAGEMENT PTY LTD","Mount Waverley,Victoria Australia","$272.25M"
"AIR LIQUIDE AUSTRALIA LIMITED","Melbourne,Victoria Australia","$267.48M"
"STRANGELOVE BEVERAGE COMPANY PTY LTD","Collingwood,Victoria Australia","$265.79M"
"LOPA PTY LTD","Southbank,Victoria Australia","$265.79M"
"ASAHI BEVERAGES PTY LTD","Southbank,Victoria Australia","$265.79M"
"MOUNTAIN GOAT BEER PTY LTD","Richmond,Victoria Australia","$265.79M"
"DULUXGROUP (EMPLOYEE SHARE PLANS) PTY LTD","Clayton,Victoria Australia","$265.54M"
"DULUXGROUP (NOMINEES) PTY LTD","Clayton,Victoria Australia","$265.54M"
"DULUXGROUP (AUSTRALIA) PTY LTD","Clayton,Victoria Australia","$265.54M"
"DULUX HOLDINGS PTY LTD","Clayton,Victoria Australia","$265.54M"
"DULUXGROUP (NEW ZEALAND) PTY LTD","Clayton,Victoria Australia","$265.54M"
"DULUXGROUP (FINANCE) PTY LTD","Clayton,Victoria Australia","$265.54M"
"DULUXGROUP (INVESTMENTS) PTY LTD","Clayton,Victoria Australia","$265.54M"
"DKSH PERFORMANCE MATERIALS PTY LIMITED","Southbank,Victoria Australia","$264.48M"
"SIEMENS LTD.","Bayswater,Victoria Australia","$263.42M"
"MOTOROLA SOLUTIONS AUSTRALIA PTY. LIMITED","Burwood East,Victoria Australia","$262.57M"
"FIXATION BREWING PTY LTD","Collingwood,Victoria Australia","$258.19M"
"HEALESVILLE DISTILLING PTY LTD","Healesville,Victoria Australia","$257.47M"
"TREASURY WINE ESTATES (CHINA) HOLDING CO PTY LTD","Melbourne,Victoria Australia","$255.03M"
"LINDEMAN (HOLDINGS) LTD","Melbourne,Victoria Australia","$255.03M"
"SOUTHCORP WINES PTY LTD","Melbourne,Victoria Australia","$255.03M"
"THE ROTHBURY ESTATE PTY LTD","Melbourne,Victoria Australia","$255.03M"
"PENFOLDS WINES INTERNATIONAL LIMITED","Melbourne,Victoria Australia","$255.03M"
"ALDERSHOT NOMINEES PTY. LTD.","Melbourne,Victoria Australia","$255.03M"
"TOLLEY, SCOTT & TOLLEY LIMITED","Melbourne,Victoria Australia","$255.03M"
"SOUTHCORP LIMITED","Melbourne,Victoria Australia","$255.03M"
"SOUTHCORP BRANDS PTY LIMITED","Melbourne,Victoria Australia","$255.03M"
"INTERBEV PTY. LIMITED","Melbourne,Victoria Australia","$255.03M"
"TATURA MILK INDUSTRIES PTY LTD","Tatura,Victoria Australia","$251.67M"
"LINCOLN VALLEY PTY LTD","Sunshine,Victoria Australia","$246.31M"
"TIMBERLINK AUSTRALIA PTY LIMITED","Scoresby,Victoria Australia","$245.85M"
"OMN INVESTMENTS PTY. LTD.","Mulgrave,Victoria Australia","$242.85M"
"GENERAL MILLS HOLDING (AUSTRALIA) PTY LTD","Mount Waverley,Victoria Australia","$241.59M"
"MARS AUSTRALIA PTY LTD","Wodonga,Victoria Australia","$239.33M"
"VIVA ENERGY AUSTRALIA GROUP PTY LTD","Docklands,Victoria Australia","$233.6M"
"AUTOMATIC TECHNOLOGY (AUSTRALIA) PTY. LTD.","Keysborough,Victoria Australia","$233.48M"
